frequency	korean	pos	hanja	hint	go_level	topik_level
	-가13	접사		전문가		중급
1195	가게	명사		~에 가다	A	초급
898	가격03	명사	價格	~이 비싸다	B	초급
2986	가구03	명사	家口		C	
7434	가구04	명사	家具	책상	B	초급
4964	가까워지다	동사			B	
3560	가까이	명사			B	
1695	가까이	부사/명사		가까이 다가오다	B	중급
648	가깝다	형용사		거리가	A	초급
1747	가꾸다	동사		나무를 가꾸다	B	중급
852	가끔	부사		가끔 보다	A	초급
5071	가난01	명사		~에 찌들다	C	중급
1716	가난하다	형용사			B	
2757	가늘다	형용사		손가락이	B	초급
6942	가능	명사	可能	주차 가능	C	중급
483	가능성	명사	可能性	~이 높다	B	중급
501	가능하다	형용사	可能-		B	
6003	가능해지다	동사	可能-		C	
25	가다01	동사		학교에 ~	A	초급
150	가다01	보조 용언			A	
1196	가득01	부사		~ 차다	B	초급
3561	가득하다01	형용사		물이 ~	B	중급
7971	가득히	부사		물을 가득히 따르다	C	중급
3173	가라앉다	동사		먼지가 ~	C	중급
	-가량06	접사		한 시간가량		중급
6170	가려지다	동사			C	
	가렵다	형용사		몸이 ~		중급
1956	가령05	부사	假令		C	
9014	가로01	명사/부사		~와 세로	B	중급
5311	가로등	명사	街路燈	~이 켜지다	C	중급
4576	가로막다	동사		길을 ~	C	중급
8286	가로수	명사	街路樹		C	
2789	가루01	명사		분필 ~	B	중급
4177	가르다	동사		칼로 ~	C	중급
698	가르치다01	동사		한국어를 ~	A	초급
2884	가르침	명사			C	
2913	가리다02	동사		시야를 ~	B	중급
2305	가리다03	동사		시비를 ~	B	중급
1367	가리키다01	동사		손가락으로 ~	B	초급
9888	가만	부사		가만 놔두다	C	중급
7158	가만있다	동사		잠자코 가만있다	C	중급
1706	가만히	부사		가만히 두다	B	중급
4755	가뭄	명사		~이 들다	C	중급
1530	가방01	명사		~을 메다	A	초급
1189	가볍다	형용사		짐이 ~	A	초급
4483	가사09	명사	歌詞	노래 가사	C	중급
3784	가상05	명사	假想		C	
2000	가수11	명사	歌手	직업	A	초급
2053	가스	명사		gas	B	중급
	가스레인지	명사		~를 켜다		중급
384	가슴01	명사		신체	A	초급
3904	가슴속	명사			B	
	가습기	명사		~를 켜다		중급
6526	가요02	명사	歌謠	~를 부르다	B	초급
264	가운데	명사		가운데 자리	A	초급
6172	가위01	명사		기구	B	초급
1268	가을01	명사		계절	A	초급
5167	가이드	명사		guide	B	
4397	가입	명사	加入	~을 권유하다	C	중급
4484	가입자	명사	加入者	~를 모집하다	C	중급
5168	가입하다	동사	加入-		C	
127	가장01	부사		가장 빠르다	A	초급
3454	가장07	명사	家長	집안의 가장	C	중급
	가전제품	명사		~을 구입하다		중급
715	가정06	명사	家庭	~을 이루다	B	중급
4398	가정07	명사	假定	~을 해 보다	C	중급
6349	가정교사	명사	家庭敎師		C	
	가정주부	명사		~로 살다		중급
3512	가져가다	동사		집에 ~	B	초급
5704	가져다주다	동사		물건을 ~	B	중급
1060	가져오다	동사		학교로 ~	A	초급
409	가족01	명사	家族	식구	A	초급
5072	가죽01	명사		가죽 잠바	B	중급
2124	가지01	명사		~를 치다	B	중급
129	가지04	의존명사		한 ~	B	초급
94	가지다	동사		돈을 ~	A	초급
514	가지다	보조 용언			A	
4668	가짜	명사	假-	~로 꾸미다	B	중급
550	가치06	명사	價値	~가 높다	C	중급
3063	가치관	명사	價値觀	~이 바뀌다	C	중급
8645	가톨릭	명사		Catholic	C	중급
3099	가하다01	동사	加-		C	
422	각01	관형사	各	각 개인	B	중급
4178	각각01	명사	各各		B	
751	각각01	부사/명사	各各	각각 다르다	B	초급
2885	각국	명사	各國	아시아 각국	B	중급
3213	각기02	부사	各其		C	
5706	각오01	명사	覺悟	~를 다지다	C	중급
3785	각자02	명사/부사	各自	각자가 맡다	B	중급
3562	각자02	부사	各自		B	
815	각종	명사	各種	각종 과일	B	중급
3905	간01	명사		음식의 ~을 보다	C	중급
3620	간08	명사	肝	신체	C	중급
335	간10	의존명사	間	서울과 부산 ~	B	중급
	-간16	접사		이틀간		중급
4179	간격02	명사	間隔	~을 넓히다	C	중급
1336	간단하다02	형용사	簡單-	간단한 설명	B	초급
2987	간단히	부사	簡單-	간단히 끝내다	B	초급
2187	간부05	명사	幹部		C	
4577	간섭	명사	干涉	~을 받다	C	중급
8290	간식02	명사	間食	~을 먹다	B	초급
4034	간신히	부사	艱辛-	간신히 살아나다	C	중급
3100	간장01	명사	-醬	~을 넣다	B	초급
	간절하다	형용사		간절한 기도		중급
4756	간접	명사	間接		C	
	간접적	관형사/명사		간접적 영향		중급
6735	간접적	명사	間接的		C	
	간지럽다	형용사		눈이 ~		중급
3906	간판02	명사	看板	~을 걸다	C	중급
7160	간편하다	형용사	簡便-	사용이 ~	C	중급
7977	간호	명사	看護	~를 받다	C	중급
7438	간호사	명사	看護師	~로 일하다	A	초급
3786	간혹	부사/명사	間或	간혹 생기다	C	중급
3621	갇히다	동사		감옥에 ~	C	중급
6736	갈다01	동사		바꾸다	B	중급
2401	갈다02	동사		문지르다	B	
1010	갈등	명사	葛藤	~이 심하다	C	중급
	갈라지다01	동사		벽이 ~		중급
12246	갈비01	명사		~를 먹다	A	초급
38470	갈비탕	명사	-湯	~을 먹다	B	초급
3342	갈색	명사	褐色	색깔	B	초급
3723	갈수록	부사		갈수록 더하다	C	중급
4035	갈아입다	동사		옷을 ~	B	초급
9018	갈아타다	동사		기차를 ~	B	초급
4578	갈증	명사	渴症	~이 나다	C	중급
8293	감01	명사		과일	B	초급
5312	감12	명사	感		C	
	-감19	접사		책임감		중급
1240	감각02	명사	感覺	~이 없다	C	중급
3343	감기04	명사	感氣	~에 걸리다	A	초급
	감기약	명사		~을 먹다		초급
2125	감다01	동사		눈을 ~	B	초급
	감다02	동사		머리를 ~		초급
4036	감다03	동사		실을 ~	C	중급
	감독	명사		~을 강화하다		중급
671	감독02	명사	監督		C	
2432	감동02	명사	感動	~을 받다	B	중급
	감동적	관형사/명사		감동적 이야기		중급
7161	감동적	명사	感動的		C	
6352	감사08	명사	感謝	감사 인사	A	초급
4966	감사하다05	동사	感謝-		A	
3847	감사하다05	형용사	感謝-		A	
6530	감상05	명사	鑑賞	음악 감상	B	중급
	감상문	명사		독서 감상문		중급
4321	감상하다04	동사	鑑賞-		B	
5170	감소01	명사	減少	인구 감소	C	중급
9431	감소되다	동사	減少-		C	
4485	감소하다	동사	減少-		C	
5445	감수성02	명사	感受性		C	
	감시02	명사		~를 당하다		중급
3174	감싸다	동사		얼굴을 ~	C	중급
3385	감옥02	명사	監獄	~에 가두다	C	중급
3513	감자01	명사		채소	B	초급
846	감정06	명사	感情	~이 풍부하다	B	중급
9892	감정적01	명사	感情的		C	
2092	감추다	동사		모습을 ~	C	중급
3563	감히	부사	敢-	감히 대들다	C	중급
7979	갑05	명사	匣		C	
475	갑자기	부사		갑자기 나타나다	A	초급
4580	갑작스럽다	형용사		갑작스러운 일	C	중급
788	값	명사		~을 깎다	A	초급
6946	값싸다	형용사		값싼 물건	C	중급
1812	강01	명사	江	~을 건너다	A	초급
3344	강남	명사	江南		C	
8651	강당	명사	講堂		B	
4669	강도05	명사	强度		C	
4967	강도06	명사	强盜	은행 강도	B	중급
1738	강력하다	형용사	强力-		C	
4757	강력히	부사	强力-		C	
3514	강렬하다02	형용사	强烈-		C	
2988	강물	명사	江-	~이 흐르다	B	중급
9433	강변01	명사	江邊		C	
9894	강북	명사	江北		C	
5577	강사04	명사	講師	시간 강사	C	중급
5578	강수량	명사	降水量	~이 많다	C	중급
14028	강아지	명사		~를 키우다	B	초급
	강요01	명사		부모의 강요		중급
3564	강요하다	동사	强要-		C	
	강원도	고유 명사	江原道		B	
3101	강의02	명사	講義	~를 듣다	C	중급
	강의실	명사		대형 강의실		중급
10371	강의하다02	동사	講義-		C	
2275	강제01	명사	强制	~로 시키다	B	중급
7683	강조02	명사	强調	강조 사항	C	중급
631	강조하다	동사	强調-		B	
584	강하다02	형용사	强-	힘이 ~	B	초급
2151	강화하다02	동사	强化-		C	
3725	갖가지	명사		갖가지 모양	C	중급
190	갖다01	동사		가지다	B	초급
3515	갖다01	보조 용언		가지다	B	
784	갖추다	동사		시설을 ~	C	중급
22	같다	형용사		서로 같다	A	초급
203	같이	부사		같이 살다	A	초급
4038	같이하다	동사			C	
3386	갚다	동사		돈을 ~	C	초급
1569	개03	명사		동물	A	초급
85	개10	의존명사	個	한 개	A	초급
5313	개개인	명사	個個人		C	
4486	개구리	명사		~를 잡다	B	중급
2914	개국01	의존명사	個國		C	
7440	개나리01	명사		~가 피다	B	중급
	개념	명사		~을 이해하다		중급
8296	개다01	동사		날이 ~	C	중급
	개다03	동사		옷을 ~		중급
3565	개미03	명사		곤충	C	중급
	개발	명사		재능 개발		중급
2565	개발되다	동사	開發-		C	
1269	개발하다	동사	開發-		B	
1296	개방04	명사	開放	개방 시간	C	중급
5708	개방되다	동사	開放-		C	
3787	개방하다03	동사	開放-		C	
4322	개별	명사	個別	개별 행동	C	중급
1562	개선01	명사	改善	제도 개선	C	중급
4758	개선되다01	동사	改善-		C	
3137	개선하다01	동사	改善-		C	
1788	개성03	명사	個性	~이 강하다	C	중급
799	개월	의존명사	個月	삼 개월	A	초급
562	개인02	명사	個人	개인의 자유	B	중급
	개인적	관형사/명사		개인적 감정		중급
2758	개인적	명사	個人的		B	
	개최	명사		공동 개최		중급
	개혁	명사		경제 개혁		중급
	-객02	접사		등산객		중급
	객관적	관형사/명사		객관적 증거		중급
2490	객관적	명사	客觀的		C	
1228	걔	줄어든 말		그 아이	B	중급
3102	거01	대명사		것	A	
20	거01	의존명사		것	A	초급
293	거기01	대명사		거기에 있다	A	초급
2989	거꾸로	부사		거꾸로 뒤집히다	C	중급
	거대	명사		거대 규모		중급
1958	거대하다	형용사	巨大-		C	
1579	거두다	동사		빨래를 ~	C	중급
5447	거들다01	동사		일을 ~	C	중급
3306	거듭	부사			C	
	거래02	명사		~가 이루어지다		중급
	거래처	명사		거래처 직원		중급
1258	거리01	명사		길~	A	초급
9901	거리02	의존명사		반찬~	B	
1148	거리08	명사	距離	~가 가깝다	C	초급
	거미02	명사		곤충		중급
1864	거부하다	동사	拒否-		C	
	거북이	명사		동물		중급
	거스름돈	명사		~을 받다		중급
2675	거실02	명사	居室	집	B	초급
3967	거액	명사	巨額		C	
2109	거울01	명사		~을 보다	A	초급
306	거의01	부사/명사		거의 없다	B	초급
	거절01	명사		~을 하다		초급
3726	거절하다01	동사	拒絶-		C	
	거지01	명사		~가 되다		중급
4039	거짓	명사		~으로 꾸미다	B	중급
2246	거짓말	명사		~을 하다	B	초급
819	거치다01	동사		도시를 ~	C	중급
2306	거칠다	형용사		살결이 ~	C	중급
4040	거품	명사		~이 나다	C	중급
1129	걱정	명사		~이 되다	A	초급
10384	걱정되다	동사			B	
5850	걱정스럽다	형용사		자식이 ~	B	중급
2491	걱정하다	동사			A	
1707	건04	의존명사	件		C	
647	건강03	명사	健康	~이 나빠지다	A	초급
1297	건강하다02	형용사	健康-		A	
7984	건너01	명사		길 건너	C	중급
4255	건너가다	동사		길을 ~	B	초급
2276	건너다	동사		길을 ~	B	초급
7167	건너오다	동사			B	
5448	건너편	명사	-便	~으로 가다	B	초급
9030	건넌방	명사	-房		C	
	건널목	명사		~을 건너가다		중급
4760	건네다	동사		돈을 ~	C	중급
4112	건네주다	동사		돈을 ~	C	중급
3907	건드리다	동사		물건을 ~	C	중급
649	건물03	명사	建物	~을 짓다	A	초급
790	건설	명사	建設	아파트 건설	C	중급
5851	건설되다	동사	建設-		C	
2263	건설하다	동사	建設-		C	
	건전지	명사		~를 갈다		중급
3388	건전하다	형용사	健全-		C	
3849	건조04	명사	乾燥	건조 기후	C	중급
8659	건조하다02	형용사	乾燥-		C	
2790	건지다	동사		그물을 ~	B	중급
2616	건축01	명사	建築	건축 공사	B	중급
8660	걷기	명사			C	
546	걷다02	동사		느릿느릿 ~	A	초급
5314	걷다03	동사		소매를 ~	C	중급
7985	걷다04	동사		빨래를 ~	C	중급
716	걸다02	동사		옷을 ~	A	초급
	걸레01	명사		~로 닦다		중급
380	걸리다01	동사		'걸다'의 피동사	B	초급
1970	걸어가다	동사		학교에 ~	A	초급
4041	걸어오다01	동사		집까지 ~	A	초급
1647	걸음	명사		~이 느리다	B	초급
837	걸치다	동사		구름 위에 ~	C	중급
1585	검다02	형용사		색깔이 ~	B	중급
3025	검사02	명사	檢事	판사와 검사	C	중급
1512	검사03	명사	檢査	숙제 검사	B	초급
	검색	명사		인터넷 검색		중급
3064	검은색	명사	-色	색깔	A	초급
	검정01	명사		색깔		초급
38923	검정색	명사	-色		B	
2850	검토	명사	檢討	서류 검토	C	중급
2644	겁05	명사	怯	~을 먹다	B	중급
7987	겁나다02	동사	怯-	말하기가 ~	C	중급
1	것01	의존명사		먹을 것	A	초급
2759	겉01	명사		안과 겉	B	초급
	겉모습	명사		~만 보다		중급
	겉옷	명사		~을 벗다		중급
4761	게01	명사		동물	C	중급
1415	게다가	부사		게다가 ~까지	B	중급
	게시02	명사		안내문 게시		중급
7687	게시판	명사	揭示板	~에 붙이다	C	중급
13080	게으르다	형용사		사람이 ~	C	초급
877	게임	명사		game	A	초급
1648	겨우	부사		겨우 살아나다	B	중급
920	겨울	명사		계절	A	초급
6009	겨울철	명사		~을 보내다	B	중급
5711	겨자01	명사			C	
	격려	명사		~를 보내다		중급
838	겪다	동사		고통을 ~	C	중급
1341	견디다	동사		고통을 ~	B	중급
	견학	명사		박물관 견학		중급
1470	견해02	명사	見解	견해 차이	C	중급
211	결과02	명사	結果	~가 나오다	B	초급
4487	결과적	명사	結果的		C	
352	결국	부사/명사	結局	결국 해내다	B	중급
	결근	명사		출근		중급
1513	결론02	명사	結論	~을 내리다	C	중급
16464	결석01	명사	缺席	~을 하다	C	초급
25684	결석하다	동사	缺席-		C	
4113	결승01	명사	決勝	결승 경기	C	중급
4763	결심01	명사	決心	~을 하다	C	초급
3623	결심하다01	동사	決心-		B	
1092	결정01	명사	決定	~을 내리다	B	초급
1986	결정되다01	동사	決定-		B	
1033	결정하다01	동사	決定-		B	
	결제01	명사		카드 결제		중급
752	결코	부사	決-	결코 울지 않다	C	중급
	결합	명사		~을 이루다		중급
601	결혼	명사	結婚	~을 하다	A	초급
3389	결혼식	명사	結婚式	~을 올리다	A	초급
	결혼식장	명사		야외 결혼식장		중급
1130	결혼하다	동사	結婚-		A	
	겸손	명사		겸손의 말		중급
	겹치다01	동사		행운이 ~		중급
2461	경계04	명사	境界	~를 짓다	C	중급
2702	경고04	명사	警告	~를 주다	C	중급
5712	경고하다02	동사	警告-		C	
2543	경기05	명사	景氣	~가 회복되다	C	중급
739	경기11	명사	競技	~를 보다	B	초급
	경기도	고유 명사	京畿道		B	
3624	경기장	명사	競技場	실내 경기장	B	중급
3672	경력02	명사	經歷	~을 쌓다	C	중급
	경복궁	고유 명사	景福宮		A	
	경복궁	명사		고궁		중급
4968	경비02	명사	經費	여행 경비	C	중급
	경비실	명사		아파트 경비실		중급
	경상도	고유 명사	慶尙道		B	
1034	경영02	명사	經營	회사 경영	B	중급
6746	경영하다01	동사	經營-		C	
	경우02	명사		그런 경우		중급
65	경우03	명사	境遇		B	
762	경쟁	명사	競爭	경쟁 상대	C	중급
2264	경쟁력	명사	競爭力	~을 키우다	C	중급
200	경제04	명사	經濟	경제 개발	B	중급
4969	경제력	명사	經濟力	~이 있다	C	중급
	경제적	관형사/명사		경제적 능력		중급
2492	경제적	명사	經濟的		B	
5713	경제학	명사	經濟學		C	
	경주	고유 명사	慶州		A	
632	경찰04	명사	警察	경찰 조사(기관)	A	초급
2329	경찰관	명사	警察官	교통 경찰관	A	중급
3214	경찰서	명사	警察署	~에 신고하다	A	초급
5452	경치02	명사	景致	~가 좋다	A	초급
1093	경향02	명사	傾向	새로운 경향	C	중급
585	경험	명사	經驗	~을 쌓다	B	초급
2170	경험하다	동사	經驗-		B	
1586	곁01	명사		~에 있다	B	중급
2544	계곡01	명사	溪谷	~에 가다	C	중급
	계기04	명사		사건의 계기		중급
2206	계단04	명사	階段	~을 오르다	B	초급
6951	계란	명사	鷄卵	~을 먹다	A	초급
1827	계산01	명사	計算	~이 정확하다	B	초급
3390	계산기	명사	計算器	~로 계산하다	B	중급
	계산대	명사		~에서 계산하다		중급
2916	계산하다	동사	計算-		B	
405	계속04	부사/명사	繼續	계속 달리다	A	초급
1075	계속되다02	동사	繼續-		B	
1149	계속하다03	동사	繼續-		B	
1163	계시다	동사		한국에 ~	A	초급
1432	계시다	보조 용언			A	
2350	계약	명사	契約	~을 체결하다	B	중급
	계약금	명사		~을 받다		중급
	계약서	명사		~를 쓰다		중급
2520	계절01	명사	季節	~이 바뀌다	A	초급
3138	계좌02	명사	計座	계좌 번호	C	중급
2054	계층	명사	階層	상류 계층	C	중급
400	계획01	명사	計劃	~을 세우다	A	초급
4862	계획하다01	동사	計劃-		B	
403	고개01	명사		~를 돌리다	B	초급
5857	고개02	명사		~ 너머	C	
1717	고객04	명사	顧客	~을 맞다	B	중급
3968	고교04	명사	高校		B	
	고구려	고유 명사	高句麗		C	
7996	고구마	명사		~를 캐다	B	중급
	고국02	명사		~으로 돌아가다		중급
11578	고궁01	명사	古宮	~을 산책하다	C	중급
1915	고급02	명사	高級	고급 시계	B	중급
8305	고급스럽다	형용사	高級-	자동차가 ~	C	중급
1055	고기01	명사		~를 먹다	A	초급
	고대04	명사		고대와 현대		중급
	고독02	명사		~을 느끼다		중급
	고등02	명사		고등 지식		중급
	고등어	명사		고등어 구이		중급
1337	고등학교	명사	高等學校	~에 입학하다	A	초급
7445	고등학생	명사	高等學生	~이 되다	A	초급
	고래01	명사		~가 헤엄치다		중급
	고려	고유 명사	高麗		C	
	고려01	명사		고려 사항		중급
1490	고려하다01	동사	考慮-		B	
1496	고르다01	동사		뽑다	B	초급
5175	고르다03	형용사		차이가 없다	B	
	고마워하다	동사		부모님에게 ~		중급
857	고맙다01	형용사		마음이 ~	A	초급
1848	고모01	명사	姑母	친척	B	초급
8668	고모부	명사	姑母夫		B	
	고무01	명사		~로 만들다		중급
9911	고무신	명사			C	
1748	고민	명사	苦悶	~을 나누다	B	초급
3104	고민하다	동사	苦悶-		B	
	고백	명사		사랑 고백		중급
1916	고생	명사	苦生	~을 참다	B	중급
3065	고생하다	동사	苦生-		B	
8307	고소하다01	형용사		맛이 ~	C	중급
6178	고속02	명사	高速	~으로 달리다	B	중급
5176	고속도로	명사	高速道路		B	
11580	고속버스	명사	高速-	~를 타다	B	초급
1987	고양이	명사		~를 기르다	A	초급
	고요01	명사		~를 깨트리다		중급
3851	고요하다	형용사			C	
	고유03	명사		고유 음식		중급
3175	고작02	부사			C	
1480	고장01	명사		지역	B	중급
3625	고장11	명사	故障	~이 나다	B	초급
2733	고전02	명사	古典	고전 소설	C	중급
	고정06	명사		고정 수입		중급
5316	고집02	명사	固執	~을 부리다	C	중급
3969	고집하다	동사	固執-		C	
2126	고추01	명사		~를 따다	B	중급
6014	고추장	명사	-醬	~을 넣다	B	초급
9916	고춧가루	명사		~를 넣다	B	중급
	고층	명사		고층 빌딩		중급
1503	고치다01	동사		컴퓨터를 ~	B	초급
986	고통	명사	苦痛	~을 견디다	B	중급
3674	고통스럽다	형용사	苦痛-	고통스러운 표정	C	중급
5860	고프다	형용사		배가 ~	A	초급
4181	고함01	명사	高喊		C	
593	고향02	명사	故鄕	~에 가다	A	초급
3459	곡02	명사	曲	쇼팽의 곡	C	중급
3460	곡식	명사	穀食	~을 거두다	C	중급
	곤란	명사		~을 당하다		중급
3675	곤란하다	형용사	困難-		C	
307	곧01	부사		곧 가다	A	초급
6180	곧다01	형용사		다리가 ~	C	중급
3215	곧바로	부사		곧바로 처리하다	B	중급
9044	곧이어	부사		곧이어 시작하다	C	중급
3970	곧잘	부사		곧잘 하다	C	중급
4767	곧장	부사		곧장 가다	C	중급
1083	골14	명사		goal	C	중급
4258	골고루	부사		골고루 먹다	C	중급
	골다01	동사		코를 ~		중급
2821	골목01	명사		좁은 골목	B	중급
7448	골목길	명사		~을 걷다	B	중급
3971	골짜기01	명사			C	
6181	골치01	명사			C	
5717	골프	명사		golf	B	중급
6015	골프장	명사	-場		B	
4671	곰03	명사		동물	B	중급
1326	곱다02	형용사		아름답다	B	중급
	곱하다	동사		7에 3을 곱하다		중급
116	곳01	명사		어느 곳	A	초급
2589	곳곳	명사		전국 곳곳	B	중급
988	공01	명사		축구~	A	초급
	공12	명사		숫자		중급
623	공간05	명사	空間	~을 차지하다	B	중급
	공감	명사		~을 얻다		중급
1338	공개02	명사	公開	공개 강좌	C	중급
2703	공개하다	동사	公開-		C	
1988	공격02	명사	攻擊	~을 받다	C	중급
4182	공격하다	동사	攻擊-		C	
4114	공공02	명사	公共	공공 기관	C	중급
	공공요금	명사		~이 인상되다		중급
	공공장소	명사		~를 이용하다		중급
	공과금	명사		~을 내다		중급
4043	공군02	명사	空軍		C	
1772	공급02	명사	供給	~을 받다	C	중급
1433	공기06	명사	空氣	~를 마시다	B	중급
9047	공기07	명사	空器	~에 밥을 담다	C	중급
953	공동02	명사	共同	공동 개최	B	중급
	공동체	명사		~에 속하다		중급
1865	공무원	명사	公務員	~으로 일하다	B	초급
490	공부01	명사	工夫	~를 하다	A	초급
807	공부하다	동사	工夫-		A	
1374	공사02	명사	工事	신축 공사	B	중급
	공손하다	형용사		공손한 태도		중급
2462	공식01	명사	公式	공식 발표	C	중급
4325	공식적	명사	公式的		C	
1084	공업01	명사	工業	~이 발달하다	C	중급
1067	공연02	명사	公演	~을 보다	B	중급
9462	공연되다	동사	公演-		C	
4864	공연장	명사	公演場	야외 공연장	C	중급
10400	공연하다02	동사	公演-		C	
6017	공연히02	부사	空然-		C	
2950	공원03	명사	公園	~에서 놀다	A	초급
685	공장02	명사	工場	~에서 일하다	B	초급
	공적01	관형사/명사		공적 제도		중급
8313	공주01	명사	公主	왕자	C	중급
3676	공중03	명사	空中		C	
8672	공중전화	명사	公衆電話	공중전화 박스	A	중급
	공지04	명사		~를 돌리다		중급
6540	공짜	명사	空-	~로 주다	B	초급
5179	공책01	명사	空冊	~에 쓰다	A	초급
8673	공통	명사	共通	공통 화제	C	중급
6541	공통되다	동사	共通-		C	
6362	공통적	명사	共通的		C	
7696	공통점	명사	共通點	~을 찾다	C	중급
2152	공포08	명사	恐怖	~를 느끼다	C	중급
2433	공항02	명사	空港	공항 터미널	A	초급
20070	공항버스	명사	空港-		B	
3677	공해01	명사	公害	~가 심각하다	C	중급
9466	공휴일	명사	公休日	~로 정하다	A	초급
3105	과04	명사	科		C	
996	과10	명사	課	과의 직원	A	중급
8674	과거02	명사	科擧		C	
549	과거03	명사	過去	~를 잊다	B	초급
	과로01	명사		~로 쓰러지다		중급
2704	과목02	명사	科目	암기 과목	B	중급
	과소비	명사		~를 줄이다		중급
	과속	명사		과속 운전		중급
	과식01	명사		~으로 배탈이 나다		중급
865	과연01	부사	果然	과연 대단하다	C	중급
7701	과외	명사	課外	과외 업무	C	중급
1491	과일01	명사		~을 깎다	A	초급
4402	과자02	명사	菓子	~를 먹다	A	초급
	과장06	명사		~이 심하다		중급
2351	과장07	명사	課長	~으로 승진하다	B	중급
188	과정03	명사	過程	~을 겪다	C	중급
6018	과정04	명사	課程		C	
1259	과제04	명사	課題	~를 해결하다	B	중급
346	과학	명사	科學	~을 연구하다	B	중급
1718	과학자	명사	科學者	~가 되다	B	중급
	과학적	관형사/명사		과학적 방법		중급
2734	과학적	명사	科學的		B	
	-관19	접사		도서관		중급
	-관20	접사		가치관		중급
1814	관객	명사	觀客	~이 모여들다	B	중급
152	관계05	명사	關係	~를 맺다	B	초급
3791	관계되다	동사	關係-		C	
	관계없다	형용사		전혀 관계없다		중급
5077	관계없이	부사	關係-	시간에 관계없이	C	중급
	관계있다	형용사		밀접하게 관계있다		중급
967	관계자	명사	關係者	~를 만나다	C	중급
1719	관광02	명사	觀光	국내 관광	B	초급
3730	관광객	명사	觀光客	외국인 관광객	B	초급
20077	관광버스	명사	觀光-		C	
7182	관광지	명사	觀光地	국내 관광지	B	초급
2189	관념02	명사	觀念		C	
9923	관람	명사	觀覽	연극	C	중급
7453	관람객	명사	觀覽客	영화 관람객	C	중급
420	관련	명사	關聯	~이 있다	B	중급
1288	관련되다	동사	關聯-		B	
1481	관련하다	동사	關聯-		B	
2646	관리01	명사	官吏		C	
858	관리04	명사	管理	학생 관리	B	중급
3909	관리하다	동사	管理-		C	
3566	관습	명사	慣習		C	
312	관심01	명사	關心	~을 가지다	B	초급
5720	관심사	명사	關心事	~가 다르다	C	중급
839	관점02	명사	觀點	~이 다르다	C	중급
3216	관찰01	명사	觀察	식물 관찰	C	중급
2070	관찰하다	동사	觀察-		B	
301	관하다02	동사	關-		B	
3567	광경	명사	光景	~을 보다	C	중급
316	광고02	명사	廣告	신문 광고	B	초급
3392	광장02	명사	廣場		C	
	광주	고유 명사	光州		B	
	광주01	명사		지명		초급
813	괜찮다	형용사		성격이 ~	A	초급
2071	괜히	부사		괜히 이야기하다	B	중급
3910	괴로움	명사		~을 당하다	C	중급
9474	괴로워하다	동사		통증으로 ~	C	초급
3516	괴롭다	형용사		마음이 ~	B	중급
4489	괴롭히다	동사		동생을 ~	C	중급
9052	굉장하다	형용사	宏壯-	공연이 ~	C	중급
2190	굉장히	부사	宏壯-	굉장히 좋아하다	B	중급
2887	교과서	명사	敎科書	~에서 배우다	A	초급
7703	교내01	명사	校內	교내 방송	C	중급
5582	교대01	명사	交代	교대 근무	C	중급
2402	교류01	명사	交流	문화 교류	B	중급
6961	교문01	명사	校門		B	
7185	교복01	명사	校服	~을 입다	C	중급
474	교사09	명사	敎師	수학 교사	C	초급
371	교수06	명사	敎授	대학 교수	A	초급
9475	교시03	의존명사	校時	1교시	C	중급
1339	교실	명사	敎室	~에 들어가다	A	초급
4115	교양02	명사	敎養	~을 쌓다	C	중급
9930	교외01	명사	郊外	~로 나가다	C	중급
198	교육	명사	敎育	~을 받다	B	초급
9931	교육비	명사	敎育費	~로 지출하다	C	중급
6363	교육자	명사	敎育者	~를 배출하다	C	중급
1103	교장03	명사	校長	초등학교 교장	C	중급
6364	교재01	명사	敎材	학습 교재	C	중급
4769	교직04	명사	敎職		C	
4403	교체01	명사	交替	건전지 교체	C	중급
1249	교통01	명사	交通	교통 수단	A	초급
	교통비	명사		~가 들다		초급
3517	교통사고	명사	交通事故	~가 나다	B	초급
	교통수단	명사		~을 이용하다		중급
	교통편	명사		~을 예약하다		중급
7186	교포02	명사	僑胞	재일 교포	B	중급
3107	교환01	명사	交換	~을 하다	B	초급
4582	교환하다01	동사	交換-		C	
1708	교회02	명사	敎會	기독교	A	초급
3973	교훈02	명사	敎訓	~을 얻다	C	중급
10999	구01	수사/관형사	九	숫자	A	초급
7705	구15	명사	區	행정 구역	C	중급
2705	구경01	명사		~을 다니다	A	초급
	구경거리	명사		~가 많다		중급
3176	구경하다	동사			B	
3217	구두01	명사		~를 신다	A	초급
3974	구르다01	동사		바위가 ~	C	중급
2493	구름01	명사		~이 끼다	A	초급
	구매02	명사		상품 구매		중급
2055	구멍	명사		~을 뚫다	B	중급
4490	구별02	명사	區別	남녀 구별	C	중급
5722	구별되다	동사	區別-		C	
3731	구별하다	동사	區別-		C	
	구부리다01	동사		허리를 ~		중급
2590	구분06	명사	區分	~을 짓다	C	중급
5181	구분되다	동사	區分-		C	
2735	구분하다03	동사	區分-		C	
2494	구석01	명사		한쪽 구석	C	중급
4259	구석구석	명사			C	
853	구성07	명사	構成	구성 인원	C	중급
1397	구성되다	동사	構成-		C	
1684	구성하다	동사	構成-		C	
	구세대	명사		신세대		중급
1351	구속02	명사	拘束	~이 심하다	C	중급
3346	구속되다	동사	拘束-		C	
